group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arithmetic/hydroflow/compiled,,,,,1251009.0,ns,4
arithmetic/hydroflow/compiled,,,,,2633319.0,ns,8
arithmetic/hydroflow/compiled,,,,,3979129.0,ns,12
arithmetic/hydroflow/compiled,,,,,5232638.0,ns,16
arithmetic/hydroflow/compiled,,,,,6589748.0,ns,20
arithmetic/hydroflow/compiled,,,,,7921157.0,ns,24
arithmetic/hydroflow/compiled,,,,,9195467.0,ns,28
arithmetic/hydroflow/compiled,,,,,10542077.0,ns,32
arithmetic/hydroflow/compiled,,,,,11838786.0,ns,36
arithmetic/hydroflow/compiled,,,,,13221495.0,ns,40
arithmetic/hydroflow/compiled,,,,,14446205.0,ns,44
arithmetic/hydroflow/compiled,,,,,15760315.0,ns,48
arithmetic/hydroflow/compiled,,,,,17090324.0,ns,52
arithmetic/hydroflow/compiled,,,,,18547234.0,ns,56
arithmetic/hydroflow/compiled,,,,,19743644.0,ns,60
arithmetic/hydroflow/compiled,,,,,20964152.0,ns,64
arithmetic/hydroflow/compiled,,,,,22341462.0,ns,68
arithmetic/hydroflow/compiled,,,,,23613371.0,ns,72
arithmetic/hydroflow/compiled,,,,,25006082.0,ns,76
arithmetic/hydroflow/compiled,,,,,26215890.0,ns,80
arithmetic/hydroflow/compiled,,,,,27566100.0,ns,84
arithmetic/hydroflow/compiled,,,,,28929310.0,ns,88
arithmetic/hydroflow/compiled,,,,,30143619.0,ns,92
arithmetic/hydroflow/compiled,,,,,31458928.0,ns,96
arithmetic/hydroflow/compiled,,,,,32847239.0,ns,100
arithmetic/hydroflow/compiled,,,,,34127447.0,ns,104
arithmetic/hydroflow/compiled,,,,,35511658.0,ns,108
arithmetic/hydroflow/compiled,,,,,37223670.0,ns,112
arithmetic/hydroflow/compiled,,,,,38105977.0,ns,116
arithmetic/hydroflow/compiled,,,,,39512587.0,ns,120
arithmetic/hydroflow/compiled,,,,,40815496.0,ns,124
arithmetic/hydroflow/compiled,,,,,42131506.0,ns,128
arithmetic/hydroflow/compiled,,,,,43312514.0,ns,132
arithmetic/hydroflow/compiled,,,,,44559523.0,ns,136
arithmetic/hydroflow/compiled,,,,,45949134.0,ns,140
arithmetic/hydroflow/compiled,,,,,47217043.0,ns,144
arithmetic/hydroflow/compiled,,,,,48547252.0,ns,148
arithmetic/hydroflow/compiled,,,,,49752761.0,ns,152
arithmetic/hydroflow/compiled,,,,,51088371.0,ns,156
arithmetic/hydroflow/compiled,,,,,52544381.0,ns,160
arithmetic/hydroflow/compiled,,,,,53888091.0,ns,164
arithmetic/hydroflow/compiled,,,,,55238601.0,ns,168
arithmetic/hydroflow/compiled,,,,,56278609.0,ns,172
arithmetic/hydroflow/compiled,,,,,57791419.0,ns,176
arithmetic/hydroflow/compiled,,,,,58959928.0,ns,180
arithmetic/hydroflow/compiled,,,,,60446639.0,ns,184
arithmetic/hydroflow/compiled,,,,,61787648.0,ns,188
arithmetic/hydroflow/compiled,,,,,62972257.0,ns,192
arithmetic/hydroflow/compiled,,,,,64374267.0,ns,196
arithmetic/hydroflow/compiled,,,,,65655076.0,ns,200
arithmetic/hydroflow/compiled,,,,,66915886.0,ns,204
arithmetic/hydroflow/compiled,,,,,68462096.0,ns,208
arithmetic/hydroflow/compiled,,,,,69667606.0,ns,212
arithmetic/hydroflow/compiled,,,,,71072315.0,ns,216
arithmetic/hydroflow/compiled,,,,,72398626.0,ns,220
arithmetic/hydroflow/compiled,,,,,73521933.0,ns,224
arithmetic/hydroflow/compiled,,,,,75030544.0,ns,228
arithmetic/hydroflow/compiled,,,,,76254154.0,ns,232
arithmetic/hydroflow/compiled,,,,,77491362.0,ns,236
arithmetic/hydroflow/compiled,,,,,78892472.0,ns,240
arithmetic/hydroflow/compiled,,,,,80321883.0,ns,244
arithmetic/hydroflow/compiled,,,,,81391390.0,ns,248
arithmetic/hydroflow/compiled,,,,,82781101.0,ns,252
arithmetic/hydroflow/compiled,,,,,84271311.0,ns,256
arithmetic/hydroflow/compiled,,,,,85419020.0,ns,260
arithmetic/hydroflow/compiled,,,,,86836830.0,ns,264
arithmetic/hydroflow/compiled,,,,,87944938.0,ns,268
arithmetic/hydroflow/compiled,,,,,89415248.0,ns,272
arithmetic/hydroflow/compiled,,,,,90581158.0,ns,276
arithmetic/hydroflow/compiled,,,,,92025867.0,ns,280
arithmetic/hydroflow/compiled,,,,,93127676.0,ns,284
arithmetic/hydroflow/compiled,,,,,94472985.0,ns,288
arithmetic/hydroflow/compiled,,,,,95775995.0,ns,292
arithmetic/hydroflow/compiled,,,,,97173005.0,ns,296
arithmetic/hydroflow/compiled,,,,,98603315.0,ns,300
arithmetic/hydroflow/compiled,,,,,99848925.0,ns,304
arithmetic/hydroflow/compiled,,,,,101208934.0,ns,308
arithmetic/hydroflow/compiled,,,,,102597944.0,ns,312
arithmetic/hydroflow/compiled,,,,,103918554.0,ns,316
arithmetic/hydroflow/compiled,,,,,105367764.0,ns,320
arithmetic/hydroflow/compiled,,,,,106600174.0,ns,324
arithmetic/hydroflow/compiled,,,,,107658881.0,ns,328
arithmetic/hydroflow/compiled,,,,,109055391.0,ns,332
arithmetic/hydroflow/compiled,,,,,110290600.0,ns,336
arithmetic/hydroflow/compiled,,,,,111547209.0,ns,340
arithmetic/hydroflow/compiled,,,,,113044520.0,ns,344
arithmetic/hydroflow/compiled,,,,,114270929.0,ns,348
arithmetic/hydroflow/compiled,,,,,115375637.0,ns,352
arithmetic/hydroflow/compiled,,,,,116962149.0,ns,356
arithmetic/hydroflow/compiled,,,,,118117057.0,ns,360
arithmetic/hydroflow/compiled,,,,,119115364.0,ns,364
arithmetic/hydroflow/compiled,,,,,120806476.0,ns,368
arithmetic/hydroflow/compiled,,,,,121687183.0,ns,372
arithmetic/hydroflow/compiled,,,,,123347895.0,ns,376
arithmetic/hydroflow/compiled,,,,,124580604.0,ns,380
arithmetic/hydroflow/compiled,,,,,125858213.0,ns,384
arithmetic/hydroflow/compiled,,,,,127402624.0,ns,388
arithmetic/hydroflow/compiled,,,,,128724134.0,ns,392
arithmetic/hydroflow/compiled,,,,,129961143.0,ns,396
arithmetic/hydroflow/compiled,,,,,131624755.0,ns,400
