group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
arithmetic/hydroflow/compiled,,,,,1048116.0,ns,3
arithmetic/hydroflow/compiled,,,,,2250933.0,ns,6
arithmetic/hydroflow/compiled,,,,,3380749.0,ns,9
arithmetic/hydroflow/compiled,,,,,4507066.0,ns,12
arithmetic/hydroflow/compiled,,,,,5635183.0,ns,15
arithmetic/hydroflow/compiled,,,,,6761999.0,ns,18
arithmetic/hydroflow/compiled,,,,,7889116.0,ns,21
arithmetic/hydroflow/compiled,,,,,9012232.0,ns,24
arithmetic/hydroflow/compiled,,,,,10138249.0,ns,27
arithmetic/hydroflow/compiled,,,,,11268966.0,ns,30
arithmetic/hydroflow/compiled,,,,,12395182.0,ns,33
arithmetic/hydroflow/compiled,,,,,13522198.0,ns,36
arithmetic/hydroflow/compiled,,,,,14645715.0,ns,39
arithmetic/hydroflow/compiled,,,,,15775132.0,ns,42
arithmetic/hydroflow/compiled,,,,,16899648.0,ns,45
arithmetic/hydroflow/compiled,,,,,18116466.0,ns,48
arithmetic/hydroflow/compiled,,,,,20120395.0,ns,51
arithmetic/hydroflow/compiled,,,,,20289498.0,ns,54
arithmetic/hydroflow/compiled,,,,,21407514.0,ns,57
arithmetic/hydroflow/compiled,,,,,22535331.0,ns,60
arithmetic/hydroflow/compiled,,,,,23658547.0,ns,63
arithmetic/hydroflow/compiled,,,,,24791564.0,ns,66
arithmetic/hydroflow/compiled,,,,,25914781.0,ns,69
arithmetic/hydroflow/compiled,,,,,27038497.0,ns,72
arithmetic/hydroflow/compiled,,,,,28169613.0,ns,75
arithmetic/hydroflow/compiled,,,,,29301530.0,ns,78
arithmetic/hydroflow/compiled,,,,,30423347.0,ns,81
arithmetic/hydroflow/compiled,,,,,31550063.0,ns,84
arithmetic/hydroflow/compiled,,,,,33933398.0,ns,87
arithmetic/hydroflow/compiled,,,,,33804096.0,ns,90
arithmetic/hydroflow/compiled,,,,,34930913.0,ns,93
arithmetic/hydroflow/compiled,,,,,36055329.0,ns,96
arithmetic/hydroflow/compiled,,,,,37178346.0,ns,99
arithmetic/hydroflow/compiled,,,,,38333163.0,ns,102
arithmetic/hydroflow/compiled,,,,,39436279.0,ns,105
