group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in/hydroflow,,,,,311596248.0,ns,1
fan_in/hydroflow,,,,,311312149.0,ns,1
fan_in/hydroflow,,,,,310872949.0,ns,1
fan_in/hydroflow,,,,,309713748.0,ns,1
fan_in/hydroflow,,,,,310567049.0,ns,1
fan_in/hydroflow,,,,,311412648.0,ns,1
fan_in/hydroflow,,,,,309760549.0,ns,1
fan_in/hydroflow,,,,,311541249.0,ns,1
fan_in/hydroflow,,,,,311117148.0,ns,1
fan_in/hydroflow,,,,,310919949.0,ns,1
fan_in/hydroflow,,,,,310694348.0,ns,1
fan_in/hydroflow,,,,,310116849.0,ns,1
fan_in/hydroflow,,,,,309839949.0,ns,1
fan_in/hydroflow,,,,,309115349.0,ns,1
fan_in/hydroflow,,,,,310776848.0,ns,1
fan_in/hydroflow,,,,,310352749.0,ns,1
fan_in/hydroflow,,,,,309234949.0,ns,1
fan_in/hydroflow,,,,,310998948.0,ns,1
fan_in/hydroflow,,,,,309535749.0,ns,1
fan_in/hydroflow,,,,,309738449.0,ns,1
fan_in/hydroflow,,,,,309630849.0,ns,1
fan_in/hydroflow,,,,,311209248.0,ns,1
fan_in/hydroflow,,,,,310033449.0,ns,1
fan_in/hydroflow,,,,,309531749.0,ns,1
fan_in/hydroflow,,,,,309213549.0,ns,1
fan_in/hydroflow,,,,,309891748.0,ns,1
fan_in/hydroflow,,,,,309280349.0,ns,1
fan_in/hydroflow,,,,,310772549.0,ns,1
fan_in/hydroflow,,,,,309575549.0,ns,1
fan_in/hydroflow,,,,,310457049.0,ns,1
fan_in/hydroflow,,,,,310023148.0,ns,1
fan_in/hydroflow,,,,,310115849.0,ns,1
fan_in/hydroflow,,,,,309773249.0,ns,1
fan_in/hydroflow,,,,,309916049.0,ns,1
fan_in/hydroflow,,,,,319251147.0,ns,1
fan_in/hydroflow,,,,,316702448.0,ns,1
fan_in/hydroflow,,,,,312617048.0,ns,1
fan_in/hydroflow,,,,,314218248.0,ns,1
fan_in/hydroflow,,,,,316409348.0,ns,1
fan_in/hydroflow,,,,,309831449.0,ns,1
fan_in/hydroflow,,,,,309735149.0,ns,1
fan_in/hydroflow,,,,,310632649.0,ns,1
fan_in/hydroflow,,,,,308868749.0,ns,1
fan_in/hydroflow,,,,,309920548.0,ns,1
fan_in/hydroflow,,,,,309606049.0,ns,1
fan_in/hydroflow,,,,,310638249.0,ns,1
fan_in/hydroflow,,,,,311320049.0,ns,1
fan_in/hydroflow,,,,,309893148.0,ns,1
fan_in/hydroflow,,,,,309590049.0,ns,1
fan_in/hydroflow,,,,,310398449.0,ns,1
fan_in/hydroflow,,,,,309770549.0,ns,1
fan_in/hydroflow,,,,,309745549.0,ns,1
fan_in/hydroflow,,,,,310257949.0,ns,1
fan_in/hydroflow,,,,,310121549.0,ns,1
fan_in/hydroflow,,,,,310221249.0,ns,1
fan_in/hydroflow,,,,,310329149.0,ns,1
fan_in/hydroflow,,,,,309819749.0,ns,1
fan_in/hydroflow,,,,,310046449.0,ns,1
fan_in/hydroflow,,,,,309792849.0,ns,1
fan_in/hydroflow,,,,,310048549.0,ns,1
fan_in/hydroflow,,,,,310001549.0,ns,1
fan_in/hydroflow,,,,,308744049.0,ns,1
fan_in/hydroflow,,,,,309746050.0,ns,1
fan_in/hydroflow,,,,,309520849.0,ns,1
fan_in/hydroflow,,,,,310423249.0,ns,1
fan_in/hydroflow,,,,,310113049.0,ns,1
fan_in/hydroflow,,,,,309483949.0,ns,1
fan_in/hydroflow,,,,,310381049.0,ns,1
fan_in/hydroflow,,,,,310234849.0,ns,1
fan_in/hydroflow,,,,,309684649.0,ns,1
fan_in/hydroflow,,,,,309193849.0,ns,1
fan_in/hydroflow,,,,,309684649.0,ns,1
fan_in/hydroflow,,,,,311355249.0,ns,1
fan_in/hydroflow,,,,,310002449.0,ns,1
fan_in/hydroflow,,,,,309086249.0,ns,1
fan_in/hydroflow,,,,,310113949.0,ns,1
fan_in/hydroflow,,,,,308344750.0,ns,1
fan_in/hydroflow,,,,,308948449.0,ns,1
fan_in/hydroflow,,,,,309946750.0,ns,1
fan_in/hydroflow,,,,,309774250.0,ns,1
fan_in/hydroflow,,,,,309498849.0,ns,1
fan_in/hydroflow,,,,,309842650.0,ns,1
fan_in/hydroflow,,,,,310195649.0,ns,1
fan_in/hydroflow,,,,,310614950.0,ns,1
fan_in/hydroflow,,,,,310083050.0,ns,1
fan_in/hydroflow,,,,,310563549.0,ns,1
fan_in/hydroflow,,,,,310503950.0,ns,1
fan_in/hydroflow,,,,,310952649.0,ns,1
fan_in/hydroflow,,,,,310209150.0,ns,1
fan_in/hydroflow,,,,,311484049.0,ns,1
fan_in/hydroflow,,,,,310643550.0,ns,1
fan_in/hydroflow,,,,,310777349.0,ns,1
fan_in/hydroflow,,,,,310614950.0,ns,1
fan_in/hydroflow,,,,,312361849.0,ns,1
fan_in/hydroflow,,,,,309894249.0,ns,1
fan_in/hydroflow,,,,,309681950.0,ns,1
fan_in/hydroflow,,,,,310324350.0,ns,1
fan_in/hydroflow,,,,,310168149.0,ns,1
fan_in/hydroflow,,,,,309399850.0,ns,1
fan_in/hydroflow,,,,,309855350.0,ns,1
