group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_in/hydroflow,,,,,170317356.0,ns,1
fan_in/hydroflow,,,,,174937379.0,ns,1
fan_in/hydroflow,,,,,170113159.0,ns,1
fan_in/hydroflow,,,,,170419254.0,ns,1
fan_in/hydroflow,,,,,169685966.0,ns,1
fan_in/hydroflow,,,,,170073160.0,ns,1
fan_in/hydroflow,,,,,169966161.0,ns,1
fan_in/hydroflow,,,,,169428871.0,ns,1
fan_in/hydroflow,,,,,168878680.0,ns,1
fan_in/hydroflow,,,,,170307555.0,ns,1
fan_in/hydroflow,,,,,168265190.0,ns,1
fan_in/hydroflow,,,,,169307173.0,ns,1
fan_in/hydroflow,,,,,170074359.0,ns,1
fan_in/hydroflow,,,,,170419554.0,ns,1
fan_in/hydroflow,,,,,170178758.0,ns,1
fan_in/hydroflow,,,,,169507369.0,ns,1
fan_in/hydroflow,,,,,169322173.0,ns,1
fan_in/hydroflow,,,,,170826747.0,ns,1
fan_in/hydroflow,,,,,170629050.0,ns,1
fan_in/hydroflow,,,,,169287973.0,ns,1
fan_in/hydroflow,,,,,168397988.0,ns,1
fan_in/hydroflow,,,,,169152175.0,ns,1
fan_in/hydroflow,,,,,168318689.0,ns,1
fan_in/hydroflow,,,,,169515469.0,ns,1
fan_in/hydroflow,,,,,169148775.0,ns,1
fan_in/hydroflow,,,,,168595285.0,ns,1
fan_in/hydroflow,,,,,170251456.0,ns,1
fan_in/hydroflow,,,,,169729566.0,ns,1
fan_in/hydroflow,,,,,169681266.0,ns,1
fan_in/hydroflow,,,,,169825664.0,ns,1
fan_in/hydroflow,,,,,170423054.0,ns,1
fan_in/hydroflow,,,,,169356471.0,ns,1
fan_in/hydroflow,,,,,169941762.0,ns,1
fan_in/hydroflow,,,,,169582768.0,ns,1
fan_in/hydroflow,,,,,170557752.0,ns,1
fan_in/hydroflow,,,,,170821747.0,ns,1
fan_in/hydroflow,,,,,170667950.0,ns,1
fan_in/hydroflow,,,,,170696249.0,ns,1
fan_in/hydroflow,,,,,170982444.0,ns,1
fan_in/hydroflow,,,,,170655250.0,ns,1
fan_in/hydroflow,,,,,171506335.0,ns,1
fan_in/hydroflow,,,,,170751648.0,ns,1
fan_in/hydroflow,,,,,169869963.0,ns,1
fan_in/hydroflow,,,,,169545468.0,ns,1
fan_in/hydroflow,,,,,170835447.0,ns,1
fan_in/hydroflow,,,,,170834247.0,ns,1
fan_in/hydroflow,,,,,171288839.0,ns,1
fan_in/hydroflow,,,,,170379754.0,ns,1
fan_in/hydroflow,,,,,169807964.0,ns,1
fan_in/hydroflow,,,,,170541751.0,ns,1
fan_in/hydroflow,,,,,171022944.0,ns,1
fan_in/hydroflow,,,,,170109059.0,ns,1
fan_in/hydroflow,,,,,170139958.0,ns,1
fan_in/hydroflow,,,,,170412254.0,ns,1
fan_in/hydroflow,,,,,170159058.0,ns,1
fan_in/hydroflow,,,,,170090259.0,ns,1
fan_in/hydroflow,,,,,170827147.0,ns,1
fan_in/hydroflow,,,,,170321556.0,ns,1
fan_in/hydroflow,,,,,170858946.0,ns,1
fan_in/hydroflow,,,,,170705849.0,ns,1
fan_in/hydroflow,,,,,170382354.0,ns,1
fan_in/hydroflow,,,,,170625550.0,ns,1
fan_in/hydroflow,,,,,170346255.0,ns,1
fan_in/hydroflow,,,,,170352555.0,ns,1
fan_in/hydroflow,,,,,169909462.0,ns,1
fan_in/hydroflow,,,,,170055360.0,ns,1
fan_in/hydroflow,,,,,170332955.0,ns,1
fan_in/hydroflow,,,,,172939111.0,ns,1
fan_in/hydroflow,,,,,175660566.0,ns,1
fan_in/hydroflow,,,,,171200141.0,ns,1
fan_in/hydroflow,,,,,171619133.0,ns,1
fan_in/hydroflow,,,,,170239657.0,ns,1
fan_in/hydroflow,,,,,170381554.0,ns,1
fan_in/hydroflow,,,,,171326839.0,ns,1
fan_in/hydroflow,,,,,170652949.0,ns,1
fan_in/hydroflow,,,,,170843747.0,ns,1
fan_in/hydroflow,,,,,169992361.0,ns,1
fan_in/hydroflow,,,,,170573851.0,ns,1
fan_in/hydroflow,,,,,171203040.0,ns,1
fan_in/hydroflow,,,,,171710232.0,ns,1
fan_in/hydroflow,,,,,172743315.0,ns,1
fan_in/hydroflow,,,,,171932128.0,ns,1
fan_in/hydroflow,,,,,172401421.0,ns,1
fan_in/hydroflow,,,,,171531335.0,ns,1
fan_in/hydroflow,,,,,172097828.0,ns,1
fan_in/hydroflow,,,,,172280625.0,ns,1
fan_in/hydroflow,,,,,171349041.0,ns,1
fan_in/hydroflow,,,,,172919315.0,ns,1
fan_in/hydroflow,,,,,171169143.0,ns,1
fan_in/hydroflow,,,,,172164427.0,ns,1
fan_in/hydroflow,,,,,170510055.0,ns,1
fan_in/hydroflow,,,,,172304925.0,ns,1
fan_in/hydroflow,,,,,182873348.0,ns,1
fan_in/hydroflow,,,,,175835566.0,ns,1
fan_in/hydroflow,,,,,170355758.0,ns,1
fan_in/hydroflow,,,,,169418873.0,ns,1
fan_in/hydroflow,,,,,170280658.0,ns,1
fan_in/hydroflow,,,,,171348541.0,ns,1
fan_in/hydroflow,,,,,170791250.0,ns,1
fan_in/hydroflow,,,,,172229926.0,ns,1
