group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/scheduled,,,,,88332129.0,ns,1
fan_out/hydroflow/scheduled,,,,,89175624.0,ns,1
fan_out/hydroflow/scheduled,,,,,89388624.0,ns,1
fan_out/hydroflow/scheduled,,,,,90031021.0,ns,1
fan_out/hydroflow/scheduled,,,,,90755019.0,ns,1
fan_out/hydroflow/scheduled,,,,,90617118.0,ns,1
fan_out/hydroflow/scheduled,,,,,88936126.0,ns,1
fan_out/hydroflow/scheduled,,,,,89566623.0,ns,1
fan_out/hydroflow/scheduled,,,,,89269624.0,ns,1
fan_out/hydroflow/scheduled,,,,,88517728.0,ns,1
fan_out/hydroflow/scheduled,,,,,86627935.0,ns,1
fan_out/hydroflow/scheduled,,,,,86520636.0,ns,1
fan_out/hydroflow/scheduled,,,,,86579136.0,ns,1
fan_out/hydroflow/scheduled,,,,,85943738.0,ns,1
fan_out/hydroflow/scheduled,,,,,85833439.0,ns,1
fan_out/hydroflow/scheduled,,,,,85523540.0,ns,1
fan_out/hydroflow/scheduled,,,,,86493136.0,ns,1
fan_out/hydroflow/scheduled,,,,,89432124.0,ns,1
fan_out/hydroflow/scheduled,,,,,89445923.0,ns,1
fan_out/hydroflow/scheduled,,,,,90068221.0,ns,1
fan_out/hydroflow/scheduled,,,,,88758727.0,ns,1
fan_out/hydroflow/scheduled,,,,,88476827.0,ns,1
fan_out/hydroflow/scheduled,,,,,88476028.0,ns,1
fan_out/hydroflow/scheduled,,,,,89916822.0,ns,1
fan_out/hydroflow/scheduled,,,,,89438123.0,ns,1
fan_out/hydroflow/scheduled,,,,,89653123.0,ns,1
fan_out/hydroflow/scheduled,,,,,89857022.0,ns,1
fan_out/hydroflow/scheduled,,,,,90567919.0,ns,1
fan_out/hydroflow/scheduled,,,,,90264120.0,ns,1
fan_out/hydroflow/scheduled,,,,,88746026.0,ns,1
fan_out/hydroflow/scheduled,,,,,84621944.0,ns,1
fan_out/hydroflow/scheduled,,,,,85837639.0,ns,1
fan_out/hydroflow/scheduled,,,,,85832639.0,ns,1
fan_out/hydroflow/scheduled,,,,,85342441.0,ns,1
fan_out/hydroflow/scheduled,,,,,86084538.0,ns,1
fan_out/hydroflow/scheduled,,,,,85674840.0,ns,1
fan_out/hydroflow/scheduled,,,,,86445836.0,ns,1
fan_out/hydroflow/scheduled,,,,,86915934.0,ns,1
fan_out/hydroflow/scheduled,,,,,86445537.0,ns,1
fan_out/hydroflow/scheduled,,,,,86408336.0,ns,1
fan_out/hydroflow/scheduled,,,,,86678736.0,ns,1
fan_out/hydroflow/scheduled,,,,,86304237.0,ns,1
fan_out/hydroflow/scheduled,,,,,90114921.0,ns,1
fan_out/hydroflow/scheduled,,,,,90019521.0,ns,1
fan_out/hydroflow/scheduled,,,,,88933426.0,ns,1
fan_out/hydroflow/scheduled,,,,,88564827.0,ns,1
fan_out/hydroflow/scheduled,,,,,89417824.0,ns,1
fan_out/hydroflow/scheduled,,,,,87782431.0,ns,1
fan_out/hydroflow/scheduled,,,,,88872726.0,ns,1
fan_out/hydroflow/scheduled,,,,,88716927.0,ns,1
fan_out/hydroflow/scheduled,,,,,89596323.0,ns,1
fan_out/hydroflow/scheduled,,,,,90314420.0,ns,1
fan_out/hydroflow/scheduled,,,,,90410620.0,ns,1
fan_out/hydroflow/scheduled,,,,,89294024.0,ns,1
fan_out/hydroflow/scheduled,,,,,89048526.0,ns,1
fan_out/hydroflow/scheduled,,,,,88559127.0,ns,1
fan_out/hydroflow/scheduled,,,,,90019121.0,ns,1
fan_out/hydroflow/scheduled,,,,,89297725.0,ns,1
fan_out/hydroflow/scheduled,,,,,88833326.0,ns,1
fan_out/hydroflow/scheduled,,,,,89345224.0,ns,1
fan_out/hydroflow/scheduled,,,,,89476824.0,ns,1
fan_out/hydroflow/scheduled,,,,,90153121.0,ns,1
fan_out/hydroflow/scheduled,,,,,89821922.0,ns,1
fan_out/hydroflow/scheduled,,,,,88560027.0,ns,1
fan_out/hydroflow/scheduled,,,,,89466924.0,ns,1
fan_out/hydroflow/scheduled,,,,,89953622.0,ns,1
fan_out/hydroflow/scheduled,,,,,89771122.0,ns,1
fan_out/hydroflow/scheduled,,,,,89726122.0,ns,1
fan_out/hydroflow/scheduled,,,,,90440720.0,ns,1
fan_out/hydroflow/scheduled,,,,,90270620.0,ns,1
fan_out/hydroflow/scheduled,,,,,89145825.0,ns,1
fan_out/hydroflow/scheduled,,,,,89206425.0,ns,1
