group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fan_out/hydroflow/teer,,,,,63876959.0,ns,1
fan_out/hydroflow/teer,,,,,64657769.0,ns,1
fan_out/hydroflow/teer,,,,,65195577.0,ns,1
fan_out/hydroflow/teer,,,,,64643269.0,ns,1
fan_out/hydroflow/teer,,,,,64282165.0,ns,1
fan_out/hydroflow/teer,,,,,64130762.0,ns,1
fan_out/hydroflow/teer,,,,,64309165.0,ns,1
fan_out/hydroflow/teer,,,,,64343665.0,ns,1
fan_out/hydroflow/teer,,,,,63606855.0,ns,1
fan_out/hydroflow/teer,,,,,63776258.0,ns,1
fan_out/hydroflow/teer,,,,,62968047.0,ns,1
fan_out/hydroflow/teer,,,,,63031748.0,ns,1
fan_out/hydroflow/teer,,,,,63214350.0,ns,1
fan_out/hydroflow/teer,,,,,64351365.0,ns,1
fan_out/hydroflow/teer,,,,,63482954.0,ns,1
fan_out/hydroflow/teer,,,,,64312165.0,ns,1
fan_out/hydroflow/teer,,,,,63867659.0,ns,1
fan_out/hydroflow/teer,,,,,63130049.0,ns,1
fan_out/hydroflow/teer,,,,,63810758.0,ns,1
fan_out/hydroflow/teer,,,,,65205077.0,ns,1
fan_out/hydroflow/teer,,,,,64153162.0,ns,1
fan_out/hydroflow/teer,,,,,63945560.0,ns,1
fan_out/hydroflow/teer,,,,,62963847.0,ns,1
fan_out/hydroflow/teer,,,,,63880259.0,ns,1
fan_out/hydroflow/teer,,,,,63464253.0,ns,1
fan_out/hydroflow/teer,,,,,63653656.0,ns,1
fan_out/hydroflow/teer,,,,,63828959.0,ns,1
fan_out/hydroflow/teer,,,,,63429853.0,ns,1
fan_out/hydroflow/teer,,,,,63396652.0,ns,1
fan_out/hydroflow/teer,,,,,63585855.0,ns,1
fan_out/hydroflow/teer,,,,,63885660.0,ns,1
fan_out/hydroflow/teer,,,,,63259350.0,ns,1
fan_out/hydroflow/teer,,,,,63542855.0,ns,1
fan_out/hydroflow/teer,,,,,62949546.0,ns,1
fan_out/hydroflow/teer,,,,,63152950.0,ns,1
fan_out/hydroflow/teer,,,,,63379652.0,ns,1
fan_out/hydroflow/teer,,,,,62992047.0,ns,1
fan_out/hydroflow/teer,,,,,62998347.0,ns,1
fan_out/hydroflow/teer,,,,,63170350.0,ns,1
fan_out/hydroflow/teer,,,,,63510954.0,ns,1
