group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow,,,,,50000797.0,ns,5
fork_join/hydroflow,,,,,51272025.0,ns,5
fork_join/hydroflow,,,,,49797793.0,ns,5
fork_join/hydroflow,,,,,49704490.0,ns,5
fork_join/hydroflow,,,,,49628989.0,ns,5
fork_join/hydroflow,,,,,49789293.0,ns,5
fork_join/hydroflow,,,,,49828393.0,ns,5
fork_join/hydroflow,,,,,49645389.0,ns,5
fork_join/hydroflow,,,,,49703791.0,ns,5
fork_join/hydroflow,,,,,49875994.0,ns,5
fork_join/hydroflow,,,,,49875194.0,ns,5
fork_join/hydroflow,,,,,49812393.0,ns,5
fork_join/hydroflow,,,,,49669990.0,ns,5
fork_join/hydroflow,,,,,49678490.0,ns,5
fork_join/hydroflow,,,,,49605688.0,ns,5
fork_join/hydroflow,,,,,49697890.0,ns,5
fork_join/hydroflow,,,,,49797893.0,ns,5
fork_join/hydroflow,,,,,49611489.0,ns,5
fork_join/hydroflow,,,,,49572787.0,ns,5
fork_join/hydroflow,,,,,49699191.0,ns,5
fork_join/hydroflow,,,,,49779892.0,ns,5
fork_join/hydroflow,,,,,49650489.0,ns,5
fork_join/hydroflow,,,,,49525187.0,ns,5
fork_join/hydroflow,,,,,49749891.0,ns,5
fork_join/hydroflow,,,,,49713491.0,ns,5
fork_join/hydroflow,,,,,49618789.0,ns,5
fork_join/hydroflow,,,,,49784892.0,ns,5
fork_join/hydroflow,,,,,49811393.0,ns,5
fork_join/hydroflow,,,,,49591588.0,ns,5
fork_join/hydroflow,,,,,49552387.0,ns,5
fork_join/hydroflow,,,,,49497386.0,ns,5
fork_join/hydroflow,,,,,49598988.0,ns,5
fork_join/hydroflow,,,,,49715491.0,ns,5
fork_join/hydroflow,,,,,49616689.0,ns,5
fork_join/hydroflow,,,,,49679590.0,ns,5
fork_join/hydroflow,,,,,49570287.0,ns,5
fork_join/hydroflow,,,,,49631989.0,ns,5
fork_join/hydroflow,,,,,49622889.0,ns,5
fork_join/hydroflow,,,,,49768592.0,ns,5
fork_join/hydroflow,,,,,50148300.0,ns,5
fork_join/hydroflow,,,,,49638989.0,ns,5
fork_join/hydroflow,,,,,49568888.0,ns,5
fork_join/hydroflow,,,,,49738491.0,ns,5
fork_join/hydroflow,,,,,49507486.0,ns,5
fork_join/hydroflow,,,,,49614689.0,ns,5
fork_join/hydroflow,,,,,49518586.0,ns,5
fork_join/hydroflow,,,,,49764692.0,ns,5
fork_join/hydroflow,,,,,49743191.0,ns,5
fork_join/hydroflow,,,,,49782993.0,ns,5
fork_join/hydroflow,,,,,49670389.0,ns,5
fork_join/hydroflow,,,,,49640989.0,ns,5
fork_join/hydroflow,,,,,49799293.0,ns,5
fork_join/hydroflow,,,,,49775792.0,ns,5
fork_join/hydroflow,,,,,49639889.0,ns,5
fork_join/hydroflow,,,,,50042998.0,ns,5
fork_join/hydroflow,,,,,49662190.0,ns,5
fork_join/hydroflow,,,,,49977196.0,ns,5
fork_join/hydroflow,,,,,49538687.0,ns,5
fork_join/hydroflow,,,,,49773192.0,ns,5
fork_join/hydroflow,,,,,49754692.0,ns,5
fork_join/hydroflow,,,,,49775392.0,ns,5
fork_join/hydroflow,,,,,49504486.0,ns,5
fork_join/hydroflow,,,,,49609789.0,ns,5
fork_join/hydroflow,,,,,49694490.0,ns,5
fork_join/hydroflow,,,,,49558787.0,ns,5
fork_join/hydroflow,,,,,49855394.0,ns,5
fork_join/hydroflow,,,,,49706391.0,ns,5
fork_join/hydroflow,,,,,49696490.0,ns,5
fork_join/hydroflow,,,,,49822193.0,ns,5
fork_join/hydroflow,,,,,49763792.0,ns,5
fork_join/hydroflow,,,,,49579288.0,ns,5
fork_join/hydroflow,,,,,49680890.0,ns,5
fork_join/hydroflow,,,,,49859094.0,ns,5
fork_join/hydroflow,,,,,49749891.0,ns,5
fork_join/hydroflow,,,,,49649389.0,ns,5
fork_join/hydroflow,,,,,49659590.0,ns,5
fork_join/hydroflow,,,,,49552087.0,ns,5
fork_join/hydroflow,,,,,49694590.0,ns,5
fork_join/hydroflow,,,,,49670890.0,ns,5
fork_join/hydroflow,,,,,49677790.0,ns,5
fork_join/hydroflow,,,,,49538387.0,ns,5
fork_join/hydroflow,,,,,49542687.0,ns,5
fork_join/hydroflow,,,,,49582688.0,ns,5
fork_join/hydroflow,,,,,49718591.0,ns,5
fork_join/hydroflow,,,,,49606688.0,ns,5
fork_join/hydroflow,,,,,49592588.0,ns,5
fork_join/hydroflow,,,,,49718291.0,ns,5
fork_join/hydroflow,,,,,49743991.0,ns,5
fork_join/hydroflow,,,,,49724291.0,ns,5
fork_join/hydroflow,,,,,49791893.0,ns,5
fork_join/hydroflow,,,,,49689690.0,ns,5
fork_join/hydroflow,,,,,49590788.0,ns,5
fork_join/hydroflow,,,,,49574988.0,ns,5
fork_join/hydroflow,,,,,49533287.0,ns,5
fork_join/hydroflow,,,,,49709590.0,ns,5
fork_join/hydroflow,,,,,49807893.0,ns,5
fork_join/hydroflow,,,,,49668490.0,ns,5
fork_join/hydroflow,,,,,49845893.0,ns,5
fork_join/hydroflow,,,,,49550887.0,ns,5
fork_join/hydroflow,,,,,49617089.0,ns,5
