group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow,,,,,58090235.0,ns,4
fork_join/hydroflow,,,,,58170841.0,ns,4
fork_join/hydroflow,,,,,56750161.0,ns,4
fork_join/hydroflow,,,,,57045977.0,ns,4
fork_join/hydroflow,,,,,56711859.0,ns,4
fork_join/hydroflow,,,,,56968673.0,ns,4
fork_join/hydroflow,,,,,56886869.0,ns,4
fork_join/hydroflow,,,,,57066778.0,ns,4
fork_join/hydroflow,,,,,56912871.0,ns,4
fork_join/hydroflow,,,,,57401797.0,ns,4
fork_join/hydroflow,,,,,58525760.0,ns,4
fork_join/hydroflow,,,,,57442799.0,ns,4
fork_join/hydroflow,,,,,56994375.0,ns,4
fork_join/hydroflow,,,,,57691914.0,ns,4
fork_join/hydroflow,,,,,57464100.0,ns,4
fork_join/hydroflow,,,,,57349195.0,ns,4
fork_join/hydroflow,,,,,57956528.0,ns,4
fork_join/hydroflow,,,,,56903370.0,ns,4
fork_join/hydroflow,,,,,57945227.0,ns,4
fork_join/hydroflow,,,,,58665268.0,ns,4
fork_join/hydroflow,,,,,58864879.0,ns,4
fork_join/hydroflow,,,,,58989385.0,ns,4
fork_join/hydroflow,,,,,59936539.0,ns,4
fork_join/hydroflow,,,,,59376907.0,ns,4
fork_join/hydroflow,,,,,58277746.0,ns,4
fork_join/hydroflow,,,,,57148884.0,ns,4
fork_join/hydroflow,,,,,57372095.0,ns,4
fork_join/hydroflow,,,,,57384697.0,ns,4
fork_join/hydroflow,,,,,57047577.0,ns,4
fork_join/hydroflow,,,,,57267390.0,ns,4
fork_join/hydroflow,,,,,57932127.0,ns,4
fork_join/hydroflow,,,,,59427210.0,ns,4
fork_join/hydroflow,,,,,57965129.0,ns,4
fork_join/hydroflow,,,,,57645711.0,ns,4
fork_join/hydroflow,,,,,57223987.0,ns,4
fork_join/hydroflow,,,,,57251489.0,ns,4
fork_join/hydroflow,,,,,57498903.0,ns,4
fork_join/hydroflow,,,,,57290391.0,ns,4
fork_join/hydroflow,,,,,57349294.0,ns,4
fork_join/hydroflow,,,,,57708715.0,ns,4
fork_join/hydroflow,,,,,57293391.0,ns,4
fork_join/hydroflow,,,,,57256489.0,ns,4
fork_join/hydroflow,,,,,57340694.0,ns,4
fork_join/hydroflow,,,,,57649011.0,ns,4
fork_join/hydroflow,,,,,57606009.0,ns,4
fork_join/hydroflow,,,,,57329593.0,ns,4
fork_join/hydroflow,,,,,57086780.0,ns,4
fork_join/hydroflow,,,,,62358874.0,ns,4
fork_join/hydroflow,,,,,56868167.0,ns,4
fork_join/hydroflow,,,,,57187886.0,ns,4
fork_join/hydroflow,,,,,56836465.0,ns,4
fork_join/hydroflow,,,,,56233533.0,ns,4
fork_join/hydroflow,,,,,56552150.0,ns,4
fork_join/hydroflow,,,,,56048822.0,ns,4
fork_join/hydroflow,,,,,57474101.0,ns,4
fork_join/hydroflow,,,,,57224487.0,ns,4
fork_join/hydroflow,,,,,57115282.0,ns,4
fork_join/hydroflow,,,,,57013976.0,ns,4
fork_join/hydroflow,,,,,57081479.0,ns,4
fork_join/hydroflow,,,,,57430399.0,ns,4
fork_join/hydroflow,,,,,57330493.0,ns,4
fork_join/hydroflow,,,,,57716315.0,ns,4
fork_join/hydroflow,,,,,57732116.0,ns,4
fork_join/hydroflow,,,,,57115181.0,ns,4
fork_join/hydroflow,,,,,57773318.0,ns,4
fork_join/hydroflow,,,,,57076980.0,ns,4
fork_join/hydroflow,,,,,57061578.0,ns,4
fork_join/hydroflow,,,,,57043377.0,ns,4
fork_join/hydroflow,,,,,56548450.0,ns,4
fork_join/hydroflow,,,,,56777963.0,ns,4
fork_join/hydroflow,,,,,56108125.0,ns,4
fork_join/hydroflow,,,,,56577751.0,ns,4
fork_join/hydroflow,,,,,57022577.0,ns,4
fork_join/hydroflow,,,,,57178884.0,ns,4
fork_join/hydroflow,,,,,57280391.0,ns,4
fork_join/hydroflow,,,,,57324193.0,ns,4
fork_join/hydroflow,,,,,57573907.0,ns,4
fork_join/hydroflow,,,,,57666112.0,ns,4
fork_join/hydroflow,,,,,57243088.0,ns,4
fork_join/hydroflow,,,,,57481402.0,ns,4
fork_join/hydroflow,,,,,57216787.0,ns,4
fork_join/hydroflow,,,,,57274490.0,ns,4
fork_join/hydroflow,,,,,56868867.0,ns,4
fork_join/hydroflow,,,,,56697158.0,ns,4
fork_join/hydroflow,,,,,57000475.0,ns,4
fork_join/hydroflow,,,,,57428099.0,ns,4
fork_join/hydroflow,,,,,57388297.0,ns,4
fork_join/hydroflow,,,,,57424098.0,ns,4
fork_join/hydroflow,,,,,57118782.0,ns,4
fork_join/hydroflow,,,,,56971073.0,ns,4
fork_join/hydroflow,,,,,57751417.0,ns,4
fork_join/hydroflow,,,,,57144083.0,ns,4
fork_join/hydroflow,,,,,57487402.0,ns,4
fork_join/hydroflow,,,,,57460000.0,ns,4
fork_join/hydroflow,,,,,56988574.0,ns,4
fork_join/hydroflow,,,,,56278735.0,ns,4
fork_join/hydroflow,,,,,57094680.0,ns,4
fork_join/hydroflow,,,,,56992274.0,ns,4
fork_join/hydroflow,,,,,57074179.0,ns,4
fork_join/hydroflow,,,,,57013037.0,ns,4
