group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow_builder,,,,,72976133.0,ns,2
fork_join/hydroflow_builder,,,,,73116934.0,ns,2
fork_join/hydroflow_builder,,,,,72937833.0,ns,2
fork_join/hydroflow_builder,,,,,73083834.0,ns,2
fork_join/hydroflow_builder,,,,,72875632.0,ns,2
fork_join/hydroflow_builder,,,,,73021434.0,ns,2
fork_join/hydroflow_builder,,,,,73095734.0,ns,2
fork_join/hydroflow_builder,,,,,72948989.0,ns,2
fork_join/hydroflow_builder,,,,,72858968.0,ns,2
fork_join/hydroflow_builder,,,,,73092385.0,ns,2
fork_join/hydroflow_builder,,,,,72793180.0,ns,2
fork_join/hydroflow_builder,,,,,72726180.0,ns,2
fork_join/hydroflow_builder,,,,,72810480.0,ns,2
fork_join/hydroflow_builder,,,,,73038784.0,ns,2
fork_join/hydroflow_builder,,,,,73220587.0,ns,2
fork_join/hydroflow_builder,,,,,73196986.0,ns,2
fork_join/hydroflow_builder,,,,,73404090.0,ns,2
fork_join/hydroflow_builder,,,,,73545591.0,ns,2
fork_join/hydroflow_builder,,,,,73156786.0,ns,2
fork_join/hydroflow_builder,,,,,72923983.0,ns,2
fork_join/hydroflow_builder,,,,,73010683.0,ns,2
fork_join/hydroflow_builder,,,,,73019684.0,ns,2
fork_join/hydroflow_builder,,,,,73169786.0,ns,2
fork_join/hydroflow_builder,,,,,73030284.0,ns,2
fork_join/hydroflow_builder,,,,,72991583.0,ns,2
fork_join/hydroflow_builder,,,,,72810481.0,ns,2
fork_join/hydroflow_builder,,,,,72807381.0,ns,2
fork_join/hydroflow_builder,,,,,73129085.0,ns,2
fork_join/hydroflow_builder,,,,,72961583.0,ns,2
fork_join/hydroflow_builder,,,,,73046284.0,ns,2
fork_join/hydroflow_builder,,,,,73030684.0,ns,2
fork_join/hydroflow_builder,,,,,72947383.0,ns,2
fork_join/hydroflow_builder,,,,,73041884.0,ns,2
fork_join/hydroflow_builder,,,,,72915582.0,ns,2
fork_join/hydroflow_builder,,,,,73343289.0,ns,2
fork_join/hydroflow_builder,,,,,73161185.0,ns,2
fork_join/hydroflow_builder,,,,,73264188.0,ns,2
fork_join/hydroflow_builder,,,,,73332288.0,ns,2
fork_join/hydroflow_builder,,,,,73775195.0,ns,2
fork_join/hydroflow_builder,,,,,73577492.0,ns,2
fork_join/hydroflow_builder,,,,,73164886.0,ns,2
fork_join/hydroflow_builder,,,,,72935183.0,ns,2
fork_join/hydroflow_builder,,,,,72929082.0,ns,2
fork_join/hydroflow_builder,,,,,72850581.0,ns,2
fork_join/hydroflow_builder,,,,,72819881.0,ns,2
fork_join/hydroflow_builder,,,,,72759680.0,ns,2
fork_join/hydroflow_builder,,,,,72864082.0,ns,2
fork_join/hydroflow_builder,,,,,72807980.0,ns,2
fork_join/hydroflow_builder,,,,,72841081.0,ns,2
fork_join/hydroflow_builder,,,,,72834181.0,ns,2
fork_join/hydroflow_builder,,,,,72927783.0,ns,2
fork_join/hydroflow_builder,,,,,73079284.0,ns,2
fork_join/hydroflow_builder,,,,,72737880.0,ns,2
fork_join/hydroflow_builder,,,,,72795580.0,ns,2
fork_join/hydroflow_builder,,,,,73557792.0,ns,2
fork_join/hydroflow_builder,,,,,72866882.0,ns,2
fork_join/hydroflow_builder,,,,,73102985.0,ns,2
fork_join/hydroflow_builder,,,,,73304388.0,ns,2
fork_join/hydroflow_builder,,,,,73209286.0,ns,2
fork_join/hydroflow_builder,,,,,73398590.0,ns,2
fork_join/hydroflow_builder,,,,,73204086.0,ns,2
fork_join/hydroflow_builder,,,,,72905582.0,ns,2
fork_join/hydroflow_builder,,,,,72788381.0,ns,2
fork_join/hydroflow_builder,,,,,73045084.0,ns,2
fork_join/hydroflow_builder,,,,,73125185.0,ns,2
fork_join/hydroflow_builder,,,,,72964283.0,ns,2
fork_join/hydroflow_builder,,,,,73028084.0,ns,2
fork_join/hydroflow_builder,,,,,72978783.0,ns,2
fork_join/hydroflow_builder,,,,,73018384.0,ns,2
fork_join/hydroflow_builder,,,,,72859081.0,ns,2
fork_join/hydroflow_builder,,,,,72938483.0,ns,2
fork_join/hydroflow_builder,,,,,72917482.0,ns,2
fork_join/hydroflow_builder,,,,,72870681.0,ns,2
fork_join/hydroflow_builder,,,,,72861381.0,ns,2
fork_join/hydroflow_builder,,,,,73098985.0,ns,2
fork_join/hydroflow_builder,,,,,73099885.0,ns,2
fork_join/hydroflow_builder,,,,,73190486.0,ns,2
fork_join/hydroflow_builder,,,,,73197887.0,ns,2
fork_join/hydroflow_builder,,,,,73276087.0,ns,2
fork_join/hydroflow_builder,,,,,72835181.0,ns,2
fork_join/hydroflow_builder,,,,,73013884.0,ns,2
fork_join/hydroflow_builder,,,,,72775980.0,ns,2
fork_join/hydroflow_builder,,,,,73401289.0,ns,2
fork_join/hydroflow_builder,,,,,72996284.0,ns,2
fork_join/hydroflow_builder,,,,,72846781.0,ns,2
fork_join/hydroflow_builder,,,,,72908182.0,ns,2
fork_join/hydroflow_builder,,,,,72940683.0,ns,2
fork_join/hydroflow_builder,,,,,73006383.0,ns,2
fork_join/hydroflow_builder,,,,,72903982.0,ns,2
fork_join/hydroflow_builder,,,,,73173086.0,ns,2
fork_join/hydroflow_builder,,,,,73212587.0,ns,2
fork_join/hydroflow_builder,,,,,73127385.0,ns,2
fork_join/hydroflow_builder,,,,,73049585.0,ns,2
fork_join/hydroflow_builder,,,,,72944382.0,ns,2
fork_join/hydroflow_builder,,,,,73030584.0,ns,2
fork_join/hydroflow_builder,,,,,73077785.0,ns,2
fork_join/hydroflow_builder,,,,,73068584.0,ns,2
fork_join/hydroflow_builder,,,,,72958183.0,ns,2
fork_join/hydroflow_builder,,,,,72979583.0,ns,2
fork_join/hydroflow_builder,,,,,73470091.0,ns,2
