group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fork_join/hydroflow_builder,,,,,70801118.0,ns,2
fork_join/hydroflow_builder,,,,,71168320.0,ns,2
fork_join/hydroflow_builder,,,,,71431722.0,ns,2
fork_join/hydroflow_builder,,,,,72350027.0,ns,2
fork_join/hydroflow_builder,,,,,70188814.0,ns,2
fork_join/hydroflow_builder,,,,,81117479.0,ns,2
fork_join/hydroflow_builder,,,,,72542229.0,ns,2
fork_join/hydroflow_builder,,,,,71927224.0,ns,2
fork_join/hydroflow_builder,,,,,70465516.0,ns,2
fork_join/hydroflow_builder,,,,,71474822.0,ns,2
fork_join/hydroflow_builder,,,,,71945925.0,ns,2
fork_join/hydroflow_builder,,,,,72331627.0,ns,2
fork_join/hydroflow_builder,,,,,71664923.0,ns,2
fork_join/hydroflow_builder,,,,,76758453.0,ns,2
fork_join/hydroflow_builder,,,,,71570623.0,ns,2
fork_join/hydroflow_builder,,,,,70793718.0,ns,2
fork_join/hydroflow_builder,,,,,71766224.0,ns,2
fork_join/hydroflow_builder,,,,,75316044.0,ns,2
fork_join/hydroflow_builder,,,,,73323533.0,ns,2
fork_join/hydroflow_builder,,,,,73113732.0,ns,2
fork_join/hydroflow_builder,,,,,82710088.0,ns,2
fork_join/hydroflow_builder,,,,,73870236.0,ns,2
fork_join/hydroflow_builder,,,,,73009431.0,ns,2
fork_join/hydroflow_builder,,,,,72790330.0,ns,2
fork_join/hydroflow_builder,,,,,70409216.0,ns,2
fork_join/hydroflow_builder,,,,,74933442.0,ns,2
fork_join/hydroflow_builder,,,,,76614153.0,ns,2
fork_join/hydroflow_builder,,,,,84284397.0,ns,2
fork_join/hydroflow_builder,,,,,73478934.0,ns,2
fork_join/hydroflow_builder,,,,,70271815.0,ns,2
fork_join/hydroflow_builder,,,,,74348939.0,ns,2
fork_join/hydroflow_builder,,,,,74272639.0,ns,2
fork_join/hydroflow_builder,,,,,73314632.0,ns,2
fork_join/hydroflow_builder,,,,,73752936.0,ns,2
fork_join/hydroflow_builder,,,,,71764624.0,ns,2
fork_join/hydroflow_builder,,,,,74166237.0,ns,2
fork_join/hydroflow_builder,,,,,71557923.0,ns,2
fork_join/hydroflow_builder,,,,,71191420.0,ns,2
fork_join/hydroflow_builder,,,,,70107014.0,ns,2
fork_join/hydroflow_builder,,,,,71709524.0,ns,2
fork_join/hydroflow_builder,,,,,79618470.0,ns,2
fork_join/hydroflow_builder,,,,,70441316.0,ns,2
fork_join/hydroflow_builder,,,,,72442528.0,ns,2
fork_join/hydroflow_builder,,,,,70747618.0,ns,2
fork_join/hydroflow_builder,,,,,75262545.0,ns,2
fork_join/hydroflow_builder,,,,,76768353.0,ns,2
fork_join/hydroflow_builder,,,,,84964202.0,ns,2
fork_join/hydroflow_builder,,,,,80931278.0,ns,2
fork_join/hydroflow_builder,,,,,83268192.0,ns,2
fork_join/hydroflow_builder,,,,,81937284.0,ns,2
fork_join/hydroflow_builder,,,,,78910866.0,ns,2
fork_join/hydroflow_builder,,,,,79033366.0,ns,2
fork_join/hydroflow_builder,,,,,72007726.0,ns,2
fork_join/hydroflow_builder,,,,,72852730.0,ns,2
fork_join/hydroflow_builder,,,,,71860725.0,ns,2
fork_join/hydroflow_builder,,,,,80254674.0,ns,2
fork_join/hydroflow_builder,,,,,71594522.0,ns,2
fork_join/hydroflow_builder,,,,,71305622.0,ns,2
fork_join/hydroflow_builder,,,,,69381909.0,ns,2
fork_join/hydroflow_builder,,,,,72988931.0,ns,2
fork_join/hydroflow_builder,,,,,72199427.0,ns,2
fork_join/hydroflow_builder,,,,,71181920.0,ns,2
fork_join/hydroflow_builder,,,,,70839219.0,ns,2
fork_join/hydroflow_builder,,,,,73364833.0,ns,2
fork_join/hydroflow_builder,,,,,76051249.0,ns,2
fork_join/hydroflow_builder,,,,,70625317.0,ns,2
fork_join/hydroflow_builder,,,,,72009526.0,ns,2
fork_join/hydroflow_builder,,,,,72895030.0,ns,2
fork_join/hydroflow_builder,,,,,72547929.0,ns,2
fork_join/hydroflow_builder,,,,,76363651.0,ns,2
fork_join/hydroflow_builder,,,,,71315121.0,ns,2
fork_join/hydroflow_builder,,,,,72118726.0,ns,2
fork_join/hydroflow_builder,,,,,71660623.0,ns,2
fork_join/hydroflow_builder,,,,,71200421.0,ns,2
fork_join/hydroflow_builder,,,,,72266527.0,ns,2
fork_join/hydroflow_builder,,,,,76845853.0,ns,2
fork_join/hydroflow_builder,,,,,73009932.0,ns,2
fork_join/hydroflow_builder,,,,,79297168.0,ns,2
fork_join/hydroflow_builder,,,,,73436134.0,ns,2
fork_join/hydroflow_builder,,,,,73068131.0,ns,2
fork_join/hydroflow_builder,,,,,72429128.0,ns,2
fork_join/hydroflow_builder,,,,,75878448.0,ns,2
fork_join/hydroflow_builder,,,,,77648059.0,ns,2
fork_join/hydroflow_builder,,,,,72569329.0,ns,2
fork_join/hydroflow_builder,,,,,74764241.0,ns,2
fork_join/hydroflow_builder,,,,,72480128.0,ns,2
fork_join/hydroflow_builder,,,,,79968873.0,ns,2
fork_join/hydroflow_builder,,,,,71089919.0,ns,2
fork_join/hydroflow_builder,,,,,75343745.0,ns,2
fork_join/hydroflow_builder,,,,,71000120.0,ns,2
fork_join/hydroflow_builder,,,,,72286327.0,ns,2
fork_join/hydroflow_builder,,,,,70735518.0,ns,2
fork_join/hydroflow_builder,,,,,70649217.0,ns,2
fork_join/hydroflow_builder,,,,,72704329.0,ns,2
fork_join/hydroflow_builder,,,,,73711136.0,ns,2
fork_join/hydroflow_builder,,,,,71982925.0,ns,2
fork_join/hydroflow_builder,,,,,71505722.0,ns,2
fork_join/hydroflow_builder,,,,,71109120.0,ns,2
fork_join/hydroflow_builder,,,,,70792318.0,ns,2
fork_join/hydroflow_builder,,,,,72647629.0,ns,2
