group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
identity/hydroflow,,,,,70476099.0,ns,1
identity/hydroflow,,,,,65672993.0,ns,1
identity/hydroflow,,,,,66293593.0,ns,1
identity/hydroflow,,,,,65566692.0,ns,1
identity/hydroflow,,,,,68761197.0,ns,1
identity/hydroflow,,,,,67247395.0,ns,1
identity/hydroflow,,,,,68658196.0,ns,1
identity/hydroflow,,,,,70571300.0,ns,1
identity/hydroflow,,,,,68638896.0,ns,1
identity/hydroflow,,,,,72847303.0,ns,1
identity/hydroflow,,,,,69616798.0,ns,1
identity/hydroflow,,,,,68345296.0,ns,1
identity/hydroflow,,,,,69734398.0,ns,1
identity/hydroflow,,,,,67635295.0,ns,1
identity/hydroflow,,,,,67392795.0,ns,1
identity/hydroflow,,,,,69256697.0,ns,1
identity/hydroflow,,,,,69636198.0,ns,1
identity/hydroflow,,,,,68973103.0,ns,1
identity/hydroflow,,,,,69030992.0,ns,1
identity/hydroflow,,,,,69040092.0,ns,1
identity/hydroflow,,,,,70465890.0,ns,1
identity/hydroflow,,,,,69320091.0,ns,1
identity/hydroflow,,,,,68012594.0,ns,1
identity/hydroflow,,,,,71073089.0,ns,1
identity/hydroflow,,,,,68756492.0,ns,1
identity/hydroflow,,,,,68584093.0,ns,1
identity/hydroflow,,,,,69550292.0,ns,1
identity/hydroflow,,,,,67870193.0,ns,1
identity/hydroflow,,,,,70742490.0,ns,1
identity/hydroflow,,,,,67871894.0,ns,1
identity/hydroflow,,,,,68600493.0,ns,1
identity/hydroflow,,,,,67208795.0,ns,1
identity/hydroflow,,,,,68294393.0,ns,1
identity/hydroflow,,,,,68700692.0,ns,1
identity/hydroflow,,,,,68342594.0,ns,1
identity/hydroflow,,,,,66229796.0,ns,1
identity/hydroflow,,,,,69670391.0,ns,1
identity/hydroflow,,,,,67029496.0,ns,1
identity/hydroflow,,,,,68374393.0,ns,1
identity/hydroflow,,,,,76883380.0,ns,1
identity/hydroflow,,,,,67302994.0,ns,1
identity/hydroflow,,,,,68815893.0,ns,1
identity/hydroflow,,,,,68780892.0,ns,1
identity/hydroflow,,,,,67665195.0,ns,1
identity/hydroflow,,,,,67168595.0,ns,1
identity/hydroflow,,,,,67645294.0,ns,1
identity/hydroflow,,,,,67562394.0,ns,1
identity/hydroflow,,,,,66652296.0,ns,1
identity/hydroflow,,,,,66909096.0,ns,1
identity/hydroflow,,,,,67706794.0,ns,1
identity/hydroflow,,,,,68021293.0,ns,1
identity/hydroflow,,,,,77362179.0,ns,1
identity/hydroflow,,,,,76119782.0,ns,1
identity/hydroflow,,,,,73782584.0,ns,1
identity/hydroflow,,,,,69509492.0,ns,1
identity/hydroflow,,,,,66914695.0,ns,1
identity/hydroflow,,,,,67687194.0,ns,1
identity/hydroflow,,,,,67863194.0,ns,1
identity/hydroflow,,,,,69165692.0,ns,1
identity/hydroflow,,,,,67138895.0,ns,1
identity/hydroflow,,,,,67507295.0,ns,1
identity/hydroflow,,,,,67154495.0,ns,1
identity/hydroflow,,,,,70325790.0,ns,1
identity/hydroflow,,,,,68555193.0,ns,1
identity/hydroflow,,,,,68289393.0,ns,1
identity/hydroflow,,,,,69280392.0,ns,1
identity/hydroflow,,,,,68452393.0,ns,1
identity/hydroflow,,,,,66700195.0,ns,1
identity/hydroflow,,,,,68862293.0,ns,1
identity/hydroflow,,,,,66914695.0,ns,1
identity/hydroflow,,,,,69058592.0,ns,1
identity/hydroflow,,,,,68837393.0,ns,1
identity/hydroflow,,,,,68833692.0,ns,1
identity/hydroflow,,,,,69035992.0,ns,1
identity/hydroflow,,,,,67897894.0,ns,1
identity/hydroflow,,,,,68074894.0,ns,1
identity/hydroflow,,,,,67737794.0,ns,1
identity/hydroflow,,,,,70986089.0,ns,1
identity/hydroflow,,,,,70059490.0,ns,1
identity/hydroflow,,,,,70329090.0,ns,1
identity/hydroflow,,,,,68961293.0,ns,1
identity/hydroflow,,,,,67243995.0,ns,1
identity/hydroflow,,,,,68374993.0,ns,1
identity/hydroflow,,,,,67649594.0,ns,1
identity/hydroflow,,,,,69402492.0,ns,1
identity/hydroflow,,,,,67795794.0,ns,1
identity/hydroflow,,,,,67884993.0,ns,1
identity/hydroflow,,,,,67699795.0,ns,1
identity/hydroflow,,,,,66394096.0,ns,1
identity/hydroflow,,,,,68156593.0,ns,1
identity/hydroflow,,,,,66224997.0,ns,1
identity/hydroflow,,,,,67395495.0,ns,1
identity/hydroflow,,,,,67586594.0,ns,1
identity/hydroflow,,,,,67164795.0,ns,1
identity/hydroflow,,,,,67214195.0,ns,1
identity/hydroflow,,,,,67770894.0,ns,1
identity/hydroflow,,,,,67058295.0,ns,1
identity/hydroflow,,,,,69617391.0,ns,1
identity/hydroflow,,,,,67099196.0,ns,1
identity/hydroflow,,,,,70070290.0,ns,1
