group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reachability/hydroflow,,,,,52719956.0,ns,17
reachability/hydroflow,,,,,52639051.0,ns,17
reachability/hydroflow,,,,,53114876.0,ns,17
reachability/hydroflow,,,,,52965168.0,ns,17
reachability/hydroflow,,,,,52740256.0,ns,17
reachability/hydroflow,,,,,52728156.0,ns,17
reachability/hydroflow,,,,,52631252.0,ns,17
reachability/hydroflow,,,,,52542746.0,ns,17
reachability/hydroflow,,,,,52999270.0,ns,17
reachability/hydroflow,,,,,52987669.0,ns,17
reachability/hydroflow,,,,,52795660.0,ns,17
reachability/hydroflow,,,,,52814360.0,ns,17
reachability/hydroflow,,,,,52787859.0,ns,17
reachability/hydroflow,,,,,52583549.0,ns,17
reachability/hydroflow,,,,,52465243.0,ns,17
reachability/hydroflow,,,,,52593449.0,ns,17
reachability/hydroflow,,,,,52641352.0,ns,17
reachability/hydroflow,,,,,52549147.0,ns,17
reachability/hydroflow,,,,,52565148.0,ns,17
reachability/hydroflow,,,,,52674453.0,ns,17
reachability/hydroflow,,,,,52578549.0,ns,17
reachability/hydroflow,,,,,52630551.0,ns,17
reachability/hydroflow,,,,,52605250.0,ns,17
reachability/hydroflow,,,,,52620450.0,ns,17
reachability/hydroflow,,,,,52642852.0,ns,17
reachability/hydroflow,,,,,52566148.0,ns,17
reachability/hydroflow,,,,,52529744.0,ns,17
reachability/hydroflow,,,,,52699252.0,ns,17
reachability/hydroflow,,,,,52565946.0,ns,17
reachability/hydroflow,,,,,52699052.0,ns,17
reachability/hydroflow,,,,,52477741.0,ns,17
reachability/hydroflow,,,,,52565046.0,ns,17
reachability/hydroflow,,,,,52646150.0,ns,17
reachability/hydroflow,,,,,52622248.0,ns,17
reachability/hydroflow,,,,,52599847.0,ns,17
reachability/hydroflow,,,,,52627549.0,ns,17
reachability/hydroflow,,,,,52532144.0,ns,17
reachability/hydroflow,,,,,52560545.0,ns,17
reachability/hydroflow,,,,,52696152.0,ns,17
reachability/hydroflow,,,,,52580947.0,ns,17
reachability/hydroflow,,,,,52626748.0,ns,17
reachability/hydroflow,,,,,52615249.0,ns,17
reachability/hydroflow,,,,,52617948.0,ns,17
reachability/hydroflow,,,,,52608948.0,ns,17
reachability/hydroflow,,,,,52570445.0,ns,17
reachability/hydroflow,,,,,52547345.0,ns,17
reachability/hydroflow,,,,,52513743.0,ns,17
reachability/hydroflow,,,,,52621648.0,ns,17
reachability/hydroflow,,,,,52562446.0,ns,17
reachability/hydroflow,,,,,52631749.0,ns,17
reachability/hydroflow,,,,,52582146.0,ns,17
reachability/hydroflow,,,,,52629149.0,ns,17
reachability/hydroflow,,,,,52474141.0,ns,17
reachability/hydroflow,,,,,52476741.0,ns,17
reachability/hydroflow,,,,,52768456.0,ns,17
reachability/hydroflow,,,,,52633449.0,ns,17
reachability/hydroflow,,,,,52959465.0,ns,17
reachability/hydroflow,,,,,52882262.0,ns,17
reachability/hydroflow,,,,,53245780.0,ns,17
reachability/hydroflow,,,,,54275831.0,ns,17
reachability/hydroflow,,,,,54040420.0,ns,17
reachability/hydroflow,,,,,54290932.0,ns,17
reachability/hydroflow,,,,,54049821.0,ns,17
reachability/hydroflow,,,,,53365386.0,ns,17
reachability/hydroflow,,,,,52806057.0,ns,17
reachability/hydroflow,,,,,52582547.0,ns,17
reachability/hydroflow,,,,,52534144.0,ns,17
reachability/hydroflow,,,,,53127974.0,ns,17
reachability/hydroflow,,,,,52774656.0,ns,17
reachability/hydroflow,,,,,52607447.0,ns,17
reachability/hydroflow,,,,,52588947.0,ns,17
reachability/hydroflow,,,,,52580046.0,ns,17
reachability/hydroflow,,,,,52540544.0,ns,17
reachability/hydroflow,,,,,52712353.0,ns,17
reachability/hydroflow,,,,,52647649.0,ns,17
reachability/hydroflow,,,,,52595547.0,ns,17
reachability/hydroflow,,,,,52877561.0,ns,17
reachability/hydroflow,,,,,52689452.0,ns,17
reachability/hydroflow,,,,,53088272.0,ns,17
reachability/hydroflow,,,,,52635649.0,ns,17
reachability/hydroflow,,,,,52899662.0,ns,17
reachability/hydroflow,,,,,52753255.0,ns,17
reachability/hydroflow,,,,,52610148.0,ns,17
reachability/hydroflow,,,,,52546145.0,ns,17
reachability/hydroflow,,,,,52578646.0,ns,17
reachability/hydroflow,,,,,52557145.0,ns,17
reachability/hydroflow,,,,,52553745.0,ns,17
reachability/hydroflow,,,,,52602047.0,ns,17
reachability/hydroflow,,,,,52630049.0,ns,17
reachability/hydroflow,,,,,52741355.0,ns,17
reachability/hydroflow,,,,,52703452.0,ns,17
reachability/hydroflow,,,,,52568746.0,ns,17
reachability/hydroflow,,,,,52657050.0,ns,17
reachability/hydroflow,,,,,52633849.0,ns,17
reachability/hydroflow,,,,,52617748.0,ns,17
reachability/hydroflow,,,,,52771156.0,ns,17
reachability/hydroflow,,,,,52590447.0,ns,17
reachability/hydroflow,,,,,52552345.0,ns,17
reachability/hydroflow,,,,,52536644.0,ns,17
reachability/hydroflow,,,,,52530344.0,ns,17
